code,ric
IVZ,IVZ
DVA,DVA
ALK,ALK
NCLH,NCLH.K
PENN,PENN.O
VNO,VNO
DISH,DISH.O
RL,RL
PVH,PVH
FOX,FOX.O
IPGP,IPGP.O
NWS,NWS.O
UAA,UAA
UA,UA
EMBC,EMBC.O
